ID,Species,Group,Area,Survey,Type,Value,Harbour,POINT_X,POINT_Y
1,Red-throated Loon,Loons and Grebes,All,Apr-97,Count,2,Sooke,451104.2592,5357929.252
2,Pacific Loon,Loons and Grebes,All,Apr-97,Count,NA,Sooke,451207.8174,5358154.355
3,Common Loon,Loons and Grebes,All,Apr-97,Count,5,Sooke,451246.8029,5358801.456
4,Yellow-billed Loon,Loons and Grebes,All,Apr-97,Count,NA,Esquimalt,467727.1473,5366063.737
5,Pied--bllled Grebe,Loons and Grebes,All,Apr-97,Count,NA,Esquimalt,467092.2909,5364732.95
6,Eared Grebe,Loons and Grebes,All,Apr-97,Count,NA,Esquimalt,467089.4481,5365038.106
7,Red-necked Grebe,Loons and Grebes,All,Apr-97,Count,3,Sooke,451785.8143,5359256.563
8,Horned Grebe,Loons and Grebes,All,Apr-97,Count,6,Sooke,451205.797,5358267.055
9,Western Grebe,Loons and Grebes,All,Apr-97,Count,1,Sooke,449831.072,5358944.573
10,Double-crested Cormorant,Cormorants,All,Apr-97,Count,110,Esquimalt,467207.5532,5365371.329
11,Brandt's Cormorant,Cormorants,All,Apr-97,Count,NA,Sooke,450166.0298,5359371.065
12,Pelagic Cormorant,Cormorants,All,Apr-97,Count,4,Esquimalt,466864.6057,5365804.931
13,Great Blue Heron,Herons,All,Apr-97,Count,7,Esquimalt,467352.6506,5365383.486
14,Mute Swan,Waterfowl,All,Apr-97,Count,1,Sooke,452626.2483,5359130.425
15,Trumpeter Swan,Waterfowl,All,Apr-97,Count,NA,Sooke,451584.573,5359785.834
16,Canada Goose,Waterfowl,All,Apr-97,Count,21,Esquimalt,467317.2912,5365486.129
17,Brant,Waterfowl,All,Apr-97,Count,16,Esquimalt,467333.4985,5365203.204
18,Wood Duck,Waterfowl,All,Apr-97,Count,NA,Esquimalt,467403.6522,5365441.723
19,Green-winged Teal,Waterfowl,All,Apr-97,Count,170,Sooke,452796.9742,5357362.7
20,Gadwall,Waterfowl,All,Apr-97,Count,33,Esquimalt,467776.8744,5364572.87
21,Mallard,Waterfowl,All,Apr-97,Count,58,Sooke,451606.9416,5358703.545
